Timestamp,SOC,Power Output/Input,Frequency Regulation Signal,Operational Mode,Market Price
2024-01-01 00:00:00,51.95254015709299,-28.738789725704105,50.08349713989277,Frequency Regulation,69.30541914763663
2024-01-01 00:15:00,58.60757465489678,24.935404496822244,50.17515691285118,Frequency Regulation,97.45636961658911
2024-01-01 00:30:00,54.110535042865756,-13.202596600220197,50.04408887302118,Energy Arbitrage,60.76216066441205
2024-01-01 00:45:00,51.795327319875874,-19.11892816865457,49.95739648963345,Frequency Regulation,32.65346058241247
2024-01-01 01:00:00,46.94619197355619,9.251125751187352,50.14647611380121,Energy Arbitrage,49.7301615817762
2024-01-01 01:15:00,55.835764522666246,33.424976746729044,49.989650438862576,Peak Shaving,44.190523147605475
2024-01-01 01:30:00,47.5034884505077,-24.28513416264152,49.80774055490402,Energy Arbitrage,57.14170053376459
2024-01-01 01:45:00,65.67092003128319,-17.97903044867759,50.02827992280325,Peak Shaving,85.56301486040189
2024-01-01 02:00:00,68.54651042004117,36.1065114978624,49.82290904116657,Peak Shaving,58.18975716857496
2024-01-01 02:15:00,45.33766075303111,-42.927374310670764,49.858942239494304,Energy Arbitrage,75.35386315855627
2024-01-01 02:30:00,61.669001523306584,-14.75906137598296,49.858383217856904,Frequency Regulation,72.35232283989903
2024-01-01 02:45:00,51.15579679011618,47.97319057173853,50.132429998248114,Energy Arbitrage,91.00250889185958
2024-01-01 03:00:00,52.72178244375729,-17.82072276924751,49.980509213999994,Energy Arbitrage,91.59479955058873
2024-01-01 03:15:00,67.02386553170643,-25.655263452851116,49.907307007111434,Peak Shaving,82.91474446575819
2024-01-01 03:30:00,32.84144232791548,45.3246969231018,50.12958834488818,Peak Shaving,40.47772368299659
2024-01-01 03:45:00,33.48517198806163,-25.704082585168354,50.073975456041424,Peak Shaving,47.44068459745153
2024-01-01 04:00:00,30.80873589761303,-19.409465394856962,50.08852399126896,Frequency Regulation,60.31892016828943
2024-01-01 04:15:00,63.30479382191752,16.69589534791949,49.92088530440504,Energy Arbitrage,98.66729769204589
2024-01-01 04:30:00,61.12627003799402,-37.2308157855004,49.98741757286973,Peak Shaving,82.89575852211266
2024-01-01 04:45:00,64.80048592987276,-1.755362936997983,49.84918244901756,Energy Arbitrage,59.77801131814339
2024-01-01 05:00:00,69.14473368931056,-35.763460637193475,50.12322600945483,Energy Arbitrage,62.002756568632925
2024-01-01 05:15:00,61.96634256866894,11.540585867409405,50.183462804357816,Frequency Regulation,51.083618578020115
2024-01-01 05:30:00,48.45917449011728,25.517726772006725,50.12013419786949,Frequency Regulation,54.46189683570801
2024-01-01 05:45:00,61.22116705145822,-0.38059393852603307,49.99956078143954,Peak Shaving,71.63201676931101
2024-01-01 06:00:00,34.73097703475733,35.284716878029485,49.90640144936355,Peak Shaving,65.44972771959374
2024-01-01 06:15:00,55.59684085310096,-18.050892141850838,50.05424403683813,Energy Arbitrage,50.210766761496885
